preference_model,pricing_model,n_items,gamma,delta,K,alpha,lambda_,total_revenue,avg_revenue_per_user,utility_gap,revenue_gap,exposure_gap,exposure_random_gap,minority_exposure,price_error_minority,price_error_all
gaussian,mle,50,0.7,0.95,3,0.9,0.25,132.536,0.44178666666666666,-0.010771381740301761,-0.0029381818181817843,-0.06333333333333335,0.03666666666666665,0.16333333333333333,1.2943000000000002,1.4261800000000002
gaussian,mle,50,0.7,0.99,1,0.9,0.1,20.823999999999998,0.06941333333333333,0.018646492612169625,0.06597754070746771,0.03999999999999998,0.13999999999999999,0.06,1.2316,1.18124
gaussian,mle,50,0.7,0.99,1,0.9,0.25,21.174,0.07058,0.019833350098704836,0.06725491297024144,0.023333333333333317,0.12333333333333332,0.07666666666666666,1.2128999999999999,1.17374
gaussian,mle,50,0.7,0.99,3,0.9,0.1,134.69599999999997,0.4489866666666666,-0.05218842435941734,-0.022625000000000006,-0.0566666666666667,0.04333333333333331,0.15666666666666668,1.2191,1.20002
gaussian,mle,50,0.7,0.99,3,0.9,0.25,135.373,0.4512433333333333,-0.08744683646331156,-0.06787547169811325,-0.061111111111111116,0.03888888888888889,0.1611111111111111,1.464,1.43632
gaussian,oracle,50,0.0,0.95,1,0.9,0.1,181.886,0.6062866666666666,-0.15562900023261816,-0.024603636363636272,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,oracle,50,0.0,0.95,1,0.9,0.25,181.886,0.6062866666666666,-0.15562900023261816,-0.024603636363636272,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,oracle,50,0.0,0.95,3,0.9,0.1,253.622,0.8454066666666668,-0.13358055976464045,0.37855026455026464,-0.04222222222222227,0.057777777777777733,0.14222222222222225,,
gaussian,oracle,50,0.0,0.95,3,0.9,0.25,263.787,0.8792899999999999,-0.17139473207260542,0.11037593283582081,-0.24777777777777776,-0.14777777777777776,0.34777777777777774,,
gaussian,oracle,50,0.0,0.99,1,0.9,0.1,272.028,0.9067600000000001,-0.06257704274339981,-0.08081454545454536,-0.64,-0.54,0.74,,
gaussian,oracle,50,0.0,0.99,1,0.9,0.25,272.028,0.9067600000000001,-0.06257704274339981,-0.08081454545454536,-0.64,-0.54,0.74,,
gaussian,oracle,50,0.0,0.99,3,0.9,0.1,251.673,0.83891,-0.14703469914609651,0.22074545454545447,-0.051111111111111135,0.04888888888888887,0.1511111111111111,,
gaussian,oracle,50,0.0,0.99,3,0.9,0.25,255.221,0.8507366666666667,-0.1339058780045047,0.1620388655462185,-0.24777777777777776,-0.14777777777777776,0.34777777777777774,,
gaussian,oracle,50,0.3,0.95,1,0.9,0.1,129.183,0.43061,-0.09478010986578006,-0.08246181818181825,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,oracle,50,0.3,0.95,1,0.9,0.25,147.34600000000003,0.49115333333333344,0.08119821804613656,0.1173309090909091,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,oracle,50,0.3,0.95,3,0.9,0.1,175.307,0.5843566666666666,-0.02607980809816518,0.1753025830258303,-0.041111111111111126,0.05888888888888888,0.1411111111111111,,
gaussian,oracle,50,0.3,0.95,3,0.9,0.25,185.824,0.6194133333333334,0.11999917346580402,0.30238518518518526,0.0111111111111111,0.1111111111111111,0.08888888888888888,,
gaussian,oracle,50,0.3,0.99,1,0.9,0.1,129.183,0.43061,-0.09478010986578006,-0.08246181818181825,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,oracle,50,0.3,0.99,1,0.9,0.25,129.183,0.43061,-0.09478010986578006,-0.08246181818181825,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,oracle,50,0.3,0.99,3,0.9,0.1,179.029,0.5967633333333333,-0.13641959464900139,0.1296134044890912,-0.25333333333333335,-0.15333333333333335,0.35333333333333333,,
gaussian,oracle,50,0.3,0.99,3,0.9,0.25,174.82599999999996,0.5827533333333332,-0.1439810681286675,0.14128864372226885,-0.2644444444444444,-0.16444444444444442,0.3644444444444444,,
gaussian,oracle,50,0.7,0.95,1,0.9,0.1,67.151,0.22383666666666666,-0.03700494904553908,-0.04110909090909093,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,oracle,50,0.7,0.95,1,0.9,0.25,50.04299999999999,0.16680999999999999,-0.14616058225998008,-0.062389090909090894,-0.6,-0.5,0.7,,
gaussian,oracle,50,0.7,0.95,3,0.9,0.1,104.494,0.3483133333333333,0.04084978760092001,0.011391304347826037,-0.007777777777777786,0.09222222222222222,0.10777777777777776,,
gaussian,oracle,50,0.7,0.95,3,0.9,0.25,101.43,0.3381,0.02606232999474281,0.01802734140784268,-0.003333333333333355,0.09666666666666665,0.10333333333333333,,
gaussian,oracle,50,0.7,0.99,1,0.9,0.1,67.151,0.22383666666666666,-0.03700494904553908,-0.04110909090909093,0.026666666666666644,0.12666666666666665,0.07333333333333333,,
gaussian,oracle,50,0.7,0.99,1,0.9,0.25,84.721,0.28240333333333334,0.02208169351964591,0.00842545454545457,0.01666666666666665,0.11666666666666665,0.08333333333333333,,
gaussian,oracle,50,0.7,0.99,3,0.9,0.1,146.15999999999997,0.4871999999999999,0.014392154006262065,-0.023327578088212175,-0.052222222222222225,0.04777777777777778,0.1522222222222222,,
gaussian,oracle,50,0.7,0.99,3,0.9,0.25,144.58700000000002,0.4819566666666667,-0.006589950242369136,0.02994831094831102,-0.060000000000000026,0.03999999999999998,0.16,,
zipfian,fixed,50,0.0,0.95,1,0.9,0.1,137.25,0.4575,0.5032761554618456,0.4663636363636363,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,fixed,50,0.0,0.95,1,0.9,0.25,113.25,0.3775,0.40816087729226697,0.3463636363636364,-0.003333333333333355,0.09666666666666665,0.10333333333333333,,
zipfian,fixed,50,0.0,0.95,3,0.9,0.1,151.5,0.505,0.3117312191869258,0.34510869565217395,-0.06888888888888892,0.03111111111111109,0.1688888888888889,,
zipfian,fixed,50,0.0,0.95,3,0.9,0.25,153.75,0.5125,0.3522742056431286,0.32066052227342545,-0.07333333333333336,0.026666666666666644,0.17333333333333334,,
zipfian,fixed,50,0.0,0.99,1,0.9,0.1,137.25,0.4575,0.5032761554618456,0.4663636363636363,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,fixed,50,0.0,0.99,1,0.9,0.25,137.25,0.4575,0.5032761554618456,0.4663636363636363,0.019999999999999976,0.11999999999999998,0.08,,
zipfian,fixed,50,0.0,0.99,3,0.9,0.1,153.75,0.5125,0.33388416999045467,0.32066052227342545,-0.06555555555555559,0.034444444444444416,0.16555555555555557,,
zipfian,fixed,50,0.0,0.99,3,0.9,0.25,151.5,0.505,0.31113513869651477,0.34510869565217395,-0.07111111111111112,0.02888888888888888,0.1711111111111111,,
zipfian,fixed,50,0.3,0.95,1,0.9,0.1,135.75,0.4525,0.4046584668823859,0.49363636363636365,0.019999999999999976,0.11999999999999998,0.08,,
